|WEEK|PLN|PLN_LABEL|PRODUCT_CATEGORY|PRODUCT_CATEGORY_LABEL|OPSTUDY|OPSTUDY_LABEL|ACTUAL|BU|SEG|PROMO
5158526|1150830|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|1.0|Consumables|NoSegment-C|
5220935|1150927|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|187.0|Consumables|C3|N
5220936|1150927|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|0.0|Consumables|NoSegment-C|N
5365087|1150906|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|286.0|Consumables|C3|N
5508250|1150913|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|269.0|Consumables|C3|N
5653531|1150920|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|286.0|Consumables|C3|N
5796769|1160103|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|202.0|Consumables|C3|N
5796770|1160103|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|0.0|Consumables|NoSegment-C|N
6004592|1160110|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|180.0|Consumables|C3|N
6004593|1160110|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|0.0|Consumables|NoSegment-C|N
6076935|1160117|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|205.0|Consumables|C3|N
6076936|1160117|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|2.0|Consumables|NoSegment-C|N
6216794|1160124|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|270.0|Consumables|C3|N
6216795|1160124|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|0.0|Consumables|NoSegment-C|N
6359333|1160131|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|315.0|Consumables|C3|N
6359334|1160131|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|0.0|Consumables|NoSegment-C|N
6566849|1160207|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|498.0|Consumables|C3|N
6566850|1160207|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|0.0|Consumables|NoSegment-C|N
6641204|1160214|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|386.0|Consumables|C3|N
6641205|1160214|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|1.0|Consumables|NoSegment-C|N
6849903|1160221|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|357.0|Consumables|C3|N
6849904|1160221|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|2.0|Consumables|NoSegment-C|N
6991451|1160228|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|399.0|Consumables|C3|N
6991452|1160228|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|2.0|Consumables|NoSegment-C|N
7065118|1160306|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|516.0|Consumables|C3|N
7065119|1160306|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|6.0|Consumables|NoSegment-C|N
7273366|1160313|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|548.0|Consumables|C3|N
7273367|1160313|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|21.0|Consumables|NoSegment-C|N
7350906|1160320|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|899.0|Consumables|C3|N
7350907|1160320|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|17.0|Consumables|NoSegment-C|N
7496777|1160327|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|425.0|Consumables|C3|N
7496778|1160327|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|18.0|Consumables|NoSegment-C|N
7636586|1160403|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|362.0|Consumables|C3|N
7636587|1160403|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|11.0|Consumables|NoSegment-C|N
7778124|1160410|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|385.0|Consumables|C3|N
7778125|1160410|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|27.0|Consumables|NoSegment-C|N
7921049|1160417|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|506.0|Consumables|C3|N
7921050|1160417|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|21.0|Consumables|NoSegment-C|N
8126495|1160424|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|378.0|Consumables|C3|N
8126496|1160424|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|27.0|Consumables|NoSegment-C|N
8199845|1160501|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|422.0|Consumables|C3|N
8199846|1160501|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|27.0|Consumables|NoSegment-C|N
8404228|1160508|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|401.0|Consumables|C3|N
8404229|1160508|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|24.0|Consumables|NoSegment-C|N
8475937|1160515|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|388.0|Consumables|C3|N
8475938|1160515|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|20.0|Consumables|NoSegment-C|N
8676815|1160522|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|349.0|Consumables|C3|Y
8676816|1160522|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|93.0|Consumables|C3|N
8676817|1160522|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|3.0|Consumables|NoSegment-C|Y
8676818|1160522|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|40.0|Consumables|NoSegment-C|N
8810181|1160605|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|386.0|Consumables|C3|N
8810182|1160605|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|2.0|Consumables|NoSegment-C|N
8943819|1160612|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|474.0|Consumables|C3|N
8943820|1160612|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|1.0|Consumables|NoSegment-C|N
9014580|1160626|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|331.0|Consumables|C3|Y
9014581|1160626|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|81.0|Consumables|C3|N
9014582|1160626|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|0.0|Consumables|NoSegment-C|Y
9014583|1160626|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|1.0|Consumables|NoSegment-C|N
9153715|1160703|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|376.0|Consumables|C3|N
9153716|1160703|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|2.0|Consumables|NoSegment-C|N
9293706|1160710|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|349.0|Consumables|C3|N
9293707|1160710|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|1.0|Consumables|NoSegment-C|N
9433473|1160717|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|320.0|Consumables|C3|N
9433474|1160717|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|1.0|Consumables|NoSegment-C|N
9573928|1160724|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|314.0|Consumables|C3|N
9573929|1160724|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|0.0|Consumables|NoSegment-C|N
9780648|1160731|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|279.0|Consumables|C3|N
9780649|1160731|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|1.0|Consumables|NoSegment-C|N
9924383|1160807|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|301.0|Consumables|C3|N
9924384|1160807|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|0.0|Consumables|NoSegment-C|N
10069245|1160814|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|263.0|Consumables|C3|N
10069246|1160814|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|2.0|Consumables|NoSegment-C|N
10211701|1160821|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|276.0|Consumables|C3|N
10211702|1160821|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|0.0|Consumables|NoSegment-C|N
